x_min,y_min,x_max,y_max,names,Datetime
2,273,282,478,motorcycle,2025-09-11 06:38:06.322320
197,185,433,477,person,2025-09-11 06:38:06.420998
196,186,434,478,person,2025-09-11 06:38:06.523098
198,185,432,477,person,2025-09-11 06:38:06.621723
192,185,433,477,person,2025-09-11 06:38:06.722465
1,275,284,478,motorcycle,2025-09-11 06:38:06.722498
191,185,433,477,person,2025-09-11 06:38:06.825057
1,273,284,478,motorcycle,2025-09-11 06:38:06.825088
196,184,432,477,person,2025-09-11 06:38:06.922117
191,184,432,478,person,2025-09-11 06:38:07.020851
191,185,431,477,person,2025-09-11 06:38:07.124114
192,184,432,478,person,2025-09-11 06:38:07.223199
197,185,432,477,person,2025-09-11 06:38:07.321858
1,276,286,478,motorcycle,2025-09-11 06:38:07.321889
185,184,432,477,person,2025-09-11 06:38:07.428677
203,186,433,477,person,2025-09-11 06:38:07.530396
2,274,284,479,motorcycle,2025-09-11 06:38:07.530432
197,185,433,478,person,2025-09-11 06:38:07.624095
2,273,282,480,motorcycle,2025-09-11 06:38:07.624130
186,184,433,478,person,2025-09-11 06:38:07.719127
1,275,284,479,motorcycle,2025-09-11 06:38:07.719163
186,184,433,477,person,2025-09-11 06:38:07.823834
190,186,433,477,person,2025-09-11 06:38:07.922569
189,186,433,477,person,2025-09-11 06:38:08.024149
1,272,285,478,motorcycle,2025-09-11 06:38:08.024180
200,185,433,478,person,2025-09-11 06:38:08.125453
183,185,434,477,person,2025-09-11 06:38:08.221626
180,184,434,477,person,2025-09-11 06:38:08.323496
178,184,434,477,person,2025-09-11 06:38:08.422990
195,184,433,477,person,2025-09-11 06:38:08.522740
187,183,434,477,person,2025-09-11 06:38:08.624940
196,185,432,477,person,2025-09-11 06:38:08.727220
1,277,285,478,motorcycle,2025-09-11 06:38:08.727253
191,183,433,476,person,2025-09-11 06:38:08.823109
2,276,285,477,motorcycle,2025-09-11 06:38:08.823141
194,184,433,476,person,2025-09-11 06:38:08.923278
202,185,432,477,person,2025-09-11 06:38:09.028285
191,184,433,477,person,2025-09-11 06:38:09.125060
196,183,432,478,person,2025-09-11 06:38:09.223870
1,274,283,478,motorcycle,2025-09-11 06:38:09.223904
200,184,432,477,person,2025-09-11 06:38:09.324008
192,184,433,477,person,2025-09-11 06:38:09.582684
1,275,285,479,motorcycle,2025-09-11 06:38:09.582720
199,185,432,476,person,2025-09-11 06:38:09.683065
196,185,433,477,person,2025-09-11 06:38:09.749543
200,185,433,477,person,2025-09-11 06:38:09.820508
201,184,432,478,person,2025-09-11 06:38:09.928406
1,273,285,478,motorcycle,2025-09-11 06:38:09.928440
206,185,432,477,person,2025-09-11 06:38:10.023897
1,275,284,479,motorcycle,2025-09-11 06:38:10.023931
201,185,433,477,person,2025-09-11 06:38:10.124476
1,272,283,479,motorcycle,2025-09-11 06:38:10.124512
200,186,433,478,person,2025-09-11 06:38:10.232902
1,274,283,479,motorcycle,2025-09-11 06:38:10.232935
200,185,433,477,person,2025-09-11 06:38:10.327217
1,274,284,478,motorcycle,2025-09-11 06:38:10.327250
199,184,433,477,person,2025-09-11 06:38:10.426175
2,272,284,478,motorcycle,2025-09-11 06:38:10.426209
195,183,434,477,person,2025-09-11 06:38:10.530801
2,273,284,478,motorcycle,2025-09-11 06:38:10.530833
209,185,436,476,person,2025-09-11 06:38:10.623527
2,274,283,477,motorcycle,2025-09-11 06:38:10.623560
214,185,437,476,person,2025-09-11 06:38:10.726752
205,183,434,477,person,2025-09-11 06:38:10.833337
2,271,283,478,motorcycle,2025-09-11 06:38:10.833372
215,185,434,477,person,2025-09-11 06:38:10.912812
2,272,282,478,motorcycle,2025-09-11 06:38:10.912845
199,183,433,478,person,2025-09-11 06:38:10.985949
209,185,434,477,person,2025-09-11 06:38:11.056864
199,183,432,478,person,2025-09-11 06:38:11.159390
197,184,433,477,person,2025-09-11 06:38:11.257672
200,185,434,477,person,2025-09-11 06:38:11.358394
2,272,285,478,motorcycle,2025-09-11 06:38:11.358429
194,185,433,478,person,2025-09-11 06:38:11.457274
1,274,286,478,motorcycle,2025-09-11 06:38:11.457304
202,183,433,478,person,2025-09-11 06:38:11.560016
192,183,434,478,person,2025-09-11 06:38:11.659359
184,183,433,479,person,2025-09-11 06:38:11.756378
191,184,432,478,person,2025-09-11 06:38:11.859068
187,184,432,478,person,2025-09-11 06:38:11.966696
197,184,434,478,person,2025-09-11 06:38:12.070255
2,273,284,477,motorcycle,2025-09-11 06:38:12.070288
199,184,431,479,person,2025-09-11 06:38:12.160311
1,273,284,478,motorcycle,2025-09-11 06:38:12.160345
189,184,431,478,person,2025-09-11 06:38:12.268471
193,185,433,478,person,2025-09-11 06:38:12.359938
177,184,433,477,person,2025-09-11 06:38:12.463691
186,185,434,477,person,2025-09-11 06:38:12.560737
196,185,434,477,person,2025-09-11 06:38:12.665980
0,274,283,479,motorcycle,2025-09-11 06:38:12.666013
195,184,434,478,person,2025-09-11 06:38:12.764846
214,188,435,477,person,2025-09-11 06:38:12.859148
1,273,282,478,motorcycle,2025-09-11 06:38:12.859180
196,185,435,478,person,2025-09-11 06:38:12.959743
188,185,433,478,person,2025-09-11 06:38:13.058974
191,185,433,478,person,2025-09-11 06:38:13.160916
1,275,285,479,motorcycle,2025-09-11 06:38:13.160952
181,185,433,478,person,2025-09-11 06:38:13.260260
195,186,433,478,person,2025-09-11 06:38:13.360907
193,185,434,478,person,2025-09-11 06:38:13.466532
185,186,434,478,person,2025-09-11 06:38:13.560610
190,186,435,478,person,2025-09-11 06:38:13.664876
195,186,434,477,person,2025-09-11 06:38:13.764553
191,185,434,478,person,2025-09-11 06:38:13.860324
199,187,435,478,person,2025-09-11 06:38:13.961108
2,272,283,478,motorcycle,2025-09-11 06:38:13.961142
194,187,433,478,person,2025-09-11 06:38:14.060678
197,187,434,478,person,2025-09-11 06:38:14.163724
2,272,283,478,motorcycle,2025-09-11 06:38:14.163759
200,187,435,478,person,2025-09-11 06:38:14.262386
1,273,284,478,motorcycle,2025-09-11 06:38:14.262420
183,186,435,478,person,2025-09-11 06:38:14.362652
2,273,284,479,motorcycle,2025-09-11 06:38:14.362686
177,186,434,477,person,2025-09-11 06:38:14.461894
190,186,436,478,person,2025-09-11 06:38:14.562113
197,186,438,477,person,2025-09-11 06:38:14.668267
193,187,437,477,person,2025-09-11 06:38:14.761627
181,186,433,477,person,2025-09-11 06:38:14.860963
198,185,434,478,person,2025-09-11 06:38:14.961895
194,185,433,477,person,2025-09-11 06:38:15.062806
203,185,433,478,person,2025-09-11 06:38:15.162511
193,185,433,478,person,2025-09-11 06:38:15.252949
